Month,Avg Wind Speed (Std Dev, Mad),Avg Air Temp (Std Dev, Mad),Total Solar Radiation
January,23.1706 (16.9074, 1.93304),25.2433 (5.62893, 4.53843),2659
February,21.5006 (15.7844, 2.22298),23.8598 (5.23501, 4.20245),1882
March,20.6037 (15.1668, 2.35979),22.9225 (5.16633, 4.04712),1823
April,16.5622 (12.3169, 2.3363),18.3896 (4.39601, 3.4998),1298
May,13.8429 (10.3723, 2.29099),14.6442 (4.80811, 3.95162),1003
June,13.5356 (10.1614, 2.31508),12.6755 (4.87062, 4.02937),800
July,14.1233 (10.7373, 2.61203),11.7032 (4.5403, 3.80183),882
August,13.0989 (9.90497, 2.47853),12.5104 (4.60589, 3.79705),1188
September,18.4101 (13.7105, 2.69392),14.8752 (5.26239, 4.30649),1660
October,20.0593 (14.7763, 2.30326),17.0798 (5.05084, 4.0078),2188
November,21.9017 (16.1122, 2.41484),21.8657 (5.90788, 4.69818),2261
December,24.7055 (18.182, 2.67755),22.2758 (5.41112, 4.27382),2464
